iter	Logloss
0	0.6698989627
1	0.6492697983
2	0.6293572083
3	0.6138617596
4	0.5973995209
5	0.5827124753
6	0.5698321318
7	0.5565135134
8	0.5456238404
9	0.5343035451
10	0.5247630546
11	0.5155460472
12	0.507841214
13	0.4997938986
14	0.4921489211
15	0.4857654934
16	0.4793980466
17	0.4743197897
18	0.4700299857
19	0.4660758642
20	0.462244628
21	0.4583453127
22	0.4540141613
23	0.4496824946
24	0.4460132728
25	0.4434204194
26	0.4410165456
27	0.4380058385
28	0.4355502412
29	0.4333785184
30	0.4309479308
31	0.4293598341
32	0.4272280623
33	0.4252424663
34	0.423955744
35	0.4222630206
36	0.4204567962
37	0.4188229668
38	0.4173331156
39	0.4162671999
40	0.415102328
41	0.4140121847
42	0.4131972156
43	0.4120581062
44	0.4110948172
45	0.4102270758
46	0.4093991635
47	0.4084546508
48	0.4076424271
49	0.4070293631
50	0.406354124
51	0.405713159
52	0.4050887632
53	0.4043463009
54	0.4037411037
55	0.403123284
56	0.4024876396
57	0.4017135325
58	0.4009867861
59	0.4004126258
60	0.399749285
61	0.3991070819
62	0.3985163447
63	0.3979638097
64	0.3974427151
65	0.3969331544
66	0.3964683608
67	0.3960526611
68	0.3955068882
69	0.3948520207
70	0.3943032636
71	0.3940759367
72	0.3936222701
73	0.3932122929
74	0.3928276337
75	0.392310546
76	0.3917738472
77	0.3910289028
78	0.3905207762
79	0.3901003354
80	0.3896078214
81	0.3892750943
82	0.3889916543
83	0.3885750347
84	0.3882258656
85	0.3878413908
86	0.3874042338
87	0.386903787
88	0.3866618955
89	0.386061184
90	0.3856516438
91	0.3850964352
92	0.3847178521
93	0.384293009
94	0.3840251145
95	0.3837877508
96	0.3834001596
97	0.382880018
98	0.38254109
99	0.3821746439
100	0.381699148
101	0.3813777384
102	0.3810338558
103	0.3806894409
104	0.3802802562
105	0.3799231863
106	0.3797002511
107	0.3792455408
108	0.3788458307
109	0.3784844744
110	0.3781242163
111	0.3777581448
112	0.3774482058
113	0.3772459648
114	0.3769800229
115	0.3764158364
116	0.3760852944
117	0.3758114588
118	0.3755247259
119	0.3751868519
120	0.3746738089
121	0.3743927223
122	0.3741234733
123	0.3738982898
124	0.3736357917
125	0.3732172753
126	0.3729224067
127	0.3726711286
128	0.3722122717
129	0.3719374229
130	0.3716236764
131	0.3711738347
132	0.3709024865
133	0.3706492526
134	0.3702020581
135	0.3700031406
136	0.3697329944
137	0.36946348
138	0.3692784735
139	0.3690330697
140	0.3686900568
141	0.3684093779
142	0.368215793
143	0.3679760713
144	0.3677324009
145	0.3675480779
146	0.3673500621
147	0.3668873965
148	0.3665039317
149	0.3662971805
150	0.3660556713
151	0.3657517274
152	0.3655147233
153	0.3651349363
154	0.3648236612
155	0.3645800207
156	0.3644107761
157	0.3641026281
158	0.3638384445
159	0.3636254926
160	0.3633221695
161	0.3628791323
162	0.3626359323
163	0.3622481579
164	0.361933658
165	0.3616180043
166	0.3613815212
167	0.3609274224
168	0.3606038289
169	0.3604161753
170	0.3602863109
171	0.3599250092
172	0.3595678262
173	0.3593784497
174	0.3591825683
175	0.3588971189
176	0.3586155634
177	0.3583401203
178	0.3580781137
179	0.3579055087
180	0.357673332
181	0.3573457663
182	0.3570677028
183	0.3566759803
184	0.3563242031
185	0.3560758484
186	0.3558739383
187	0.3555593997
188	0.3550702982
189	0.3548828308
190	0.3545969106
191	0.3543900599
192	0.3541563502
193	0.3538679864
194	0.3537164964
195	0.3534550998
196	0.3532685294
197	0.3528755737
198	0.3527709888
199	0.3525526909
200	0.3523730363
201	0.3521498327
202	0.351799767
203	0.3515374402
204	0.351141517
205	0.3508713418
206	0.3506723875
207	0.3504029459
208	0.3500732326
209	0.3498723794
210	0.3495734288
211	0.3494496112
212	0.3491791619
213	0.3489960841
214	0.3487978587
215	0.3485080298
216	0.3483593808
217	0.3482223286
218	0.3480492688
219	0.3478257174
220	0.34765305
221	0.3475109762
222	0.3471395123
223	0.3469475854
224	0.3466867309
225	0.3464817695
226	0.3462610905
227	0.3459996931
228	0.345775089
229	0.34555502
230	0.3453325137
231	0.3449850824
232	0.3448289996
233	0.3446238291
234	0.344511291
235	0.3441823065
236	0.3439651389
237	0.3435517022
238	0.3431552186
239	0.3429802886
240	0.3426435565
241	0.3424943778
242	0.342290614
243	0.342025727
244	0.3418015118
245	0.3416377321
246	0.3414927922
247	0.3413655802
248	0.3411539416
249	0.3407319605
250	0.3405537861
251	0.3403456022
252	0.340133414
253	0.3398450617
254	0.3396085096
255	0.3392121422
256	0.339092363
257	0.3388215512
258	0.3385394319
259	0.3383805732
260	0.3382116118
261	0.3380616662
262	0.3378900054
263	0.3374176988
264	0.3371911999
265	0.3370429433
266	0.3369133298
267	0.336676008
268	0.3364995799
269	0.336331217
270	0.3360113097
271	0.3358179065
272	0.3355725824
273	0.3353862302
274	0.3350941804
275	0.3349161401
276	0.334744255
277	0.3345898729
278	0.3343812797
279	0.3340918679
280	0.33385597
281	0.3336240166
282	0.3332478226
283	0.3330815062
284	0.3328536546
285	0.3325608807
286	0.3323984979
287	0.3322074533
288	0.332041736
289	0.3317911662
290	0.3316402058
291	0.3313059819
292	0.3310713736
293	0.3309341075
294	0.3306204183
295	0.330498293
296	0.3303178878
297	0.3300787585
298	0.3298459722
299	0.3296081094
300	0.3293601297
301	0.3291239413
302	0.3289042521
303	0.3287476608
304	0.3286123172
305	0.3283444026
306	0.3281613014
307	0.3278001595
308	0.3275964587
309	0.3273784507
310	0.3270599618
311	0.3269223229
312	0.3266095742
313	0.326408541
314	0.3261990087
315	0.3258716397
316	0.3256664416
317	0.3254785872
318	0.3251484305
319	0.3249923393
320	0.3247632278
321	0.3244814665
322	0.3243270819
323	0.324174223
324	0.3237589642
325	0.3234385787
326	0.3232413311
327	0.3231158182
328	0.3229702886
329	0.3227358144
330	0.3225069869
331	0.3222862809
332	0.3221336616
333	0.3219896446
334	0.321824089
335	0.321632623
336	0.321511694
337	0.3213297053
338	0.3210926139
339	0.3209463299
340	0.3207442355
341	0.3203476159
342	0.3201951637
343	0.3200231802
344	0.3198540916
345	0.3197130255
346	0.3194992045
347	0.3192873026
348	0.3190449547
349	0.3187206226
350	0.3185431928
351	0.318219903
352	0.3179409359
353	0.317674921
354	0.3175557579
355	0.317395637
356	0.3172177325
357	0.3170552792
358	0.3168492949
359	0.3165960174
360	0.3164150097
361	0.3162110589
362	0.3160591548
363	0.3158754453
364	0.3156899677
365	0.3154758939
366	0.3152549592
367	0.315084193
368	0.3149144305
369	0.3147715224
370	0.3146144585
371	0.3144513989
372	0.3142136149
373	0.3140420534
374	0.3137473416
375	0.3135057803
376	0.3133926339
377	0.3132171758
378	0.3130382624
379	0.312851876
380	0.3126780122
381	0.3125383688
382	0.3123950322
383	0.3121977079
384	0.3119309359
385	0.311578718
386	0.311442619
387	0.3112914833
388	0.3111176656
389	0.3109570937
390	0.3106995987
391	0.3103701407
392	0.3102533997
393	0.3100706997
394	0.309890424
395	0.3096679895
396	0.3095120426
397	0.3093442384
398	0.309109054
399	0.3089329694
400	0.3087617425
401	0.3085696411
402	0.3084399424
403	0.308149248
404	0.3080115034
405	0.3078377159
406	0.3076905947
407	0.3074222654
408	0.3070288923
409	0.3067729293
410	0.3066353293
411	0.3064993138
412	0.3063385259
413	0.3062130501
414	0.3059983533
415	0.3058347808
416	0.3056797393
417	0.3055311875
418	0.3053528542
419	0.3052351714
420	0.3050771688
421	0.3047510739
422	0.3045857705
423	0.3044096596
