iter	Passed	Remaining
0	154	154797
1	164	81902
2	172	57430
3	179	44577
4	185	36987
5	191	31684
6	197	28012
7	204	25381
8	213	23453
9	217	21530
10	226	20352
11	231	19087
12	236	17961
13	245	17263
14	251	16534
15	257	15830
16	263	15258
17	269	14718
18	279	14430
19	288	14136
20	294	13746
21	300	13345
22	305	12979
23	310	12643
24	317	12381
25	323	12110
26	329	11874
27	337	11708
28	342	11479
29	348	11253
30	363	11349
31	367	11129
32	373	10948
33	379	10785
34	390	10770
35	396	10630
36	403	10506
37	408	10353
38	414	10210
39	418	10046
40	426	9985
41	432	9871
42	440	9806
43	446	9693
44	451	9573
45	462	9583
46	467	9481
47	474	9416
48	479	9315
49	485	9226
50	497	9264
51	505	9220
52	512	9149
53	518	9083
54	524	9012
55	529	8925
56	535	8852
57	540	8779
58	548	8752
59	555	8695
60	561	8649
61	566	8571
62	572	8512
63	577	8447
64	584	8408
65	589	8347
66	596	8308
67	601	8248
68	607	8198
69	613	8144
70	620	8120
71	625	8066
72	631	8021
73	639	7998
74	644	7949
75	651	7917
76	660	7911
77	666	7880
78	671	7833
79	679	7812
80	683	7757
81	688	7703
82	693	7657
83	698	7622
84	705	7590
85	714	7590
86	719	7548
87	725	7514
88	730	7479
89	736	7443
90	743	7424
91	750	7407
92	756	7373
93	774	7465
94	781	7446
95	791	7450
96	795	7409
97	801	7375
98	806	7340
99	812	7308
100	818	7283
101	823	7248
102	827	7207
103	832	7173
104	838	7144
105	843	7111
106	848	7082
107	855	7062
108	859	7029
109	864	6997
110	871	6979
111	877	6958
112	883	6938
113	892	6932
114	896	6901
115	903	6884
116	908	6857
117	914	6833
118	919	6803
119	924	6777
120	929	6753
121	936	6736
122	941	6712
123	945	6682
124	954	6682
125	960	6665
126	965	6637
127	971	6615
128	976	6595
129	981	6569
130	985	6540
131	990	6513
132	997	6504
133	1002	6479
134	1007	6458
135	1012	6432
136	1020	6425
137	1024	6399
138	1029	6377
139	1035	6360
140	1041	6341
141	1046	6320
142	1054	6317
143	1061	6311
144	1066	6289
145	1071	6267
146	1077	6253
147	1084	6240
148	1090	6227
149	1096	6211
150	1107	6229
151	1112	6208
152	1117	6187
153	1124	6176
154	1130	6163
155	1136	6150
156	1142	6136
157	1149	6125
158	1154	6104
159	1161	6096
160	1169	6093
161	1173	6068
162	1178	6050
163	1185	6044
164	1193	6041
165	1198	6021
166	1205	6012
167	1210	5994
168	1215	5976
169	1220	5961
170	1225	5943
171	1231	5929
172	1237	5914
173	1242	5898
174	1248	5885
175	1255	5877
176	1261	5863
177	1268	5857
178	1273	5839
179	1280	5833
180	1285	5814
181	1291	5805
182	1298	5798
183	1305	5790
184	1312	5780
185	1317	5765
186	1324	5759
187	1329	5743
188	1335	5730
189	1342	5723
190	1349	5713
191	1354	5699
192	1359	5684
193	1367	5682
194	1374	5675
195	1380	5661
196	1385	5646
197	1390	5632
198	1396	5622
199	1408	5632
200	1414	5621
201	1419	5606
202	1427	5603
203	1435	5602
204	1441	5589
205	1446	5573
206	1452	5564
207	1457	5550
208	1463	5537
209	1468	5525
210	1474	5514
211	1480	5502
212	1485	5487
213	1489	5471
214	1496	5464
215	1502	5453
216	1508	5441
217	1515	5437
218	1521	5426
219	1529	5423
220	1535	5411
221	1541	5403
222	1546	5390
223	1552	5378
224	1558	5366
225	1565	5360
226	1570	5349
227	1577	5341
228	1589	5350
229	1595	5342
230	1602	5333
231	1607	5320
232	1614	5315
233	1619	5300
234	1625	5290
235	1630	5276
236	1637	5271
237	1644	5266
238	1657	5276
239	1664	5270
240	1669	5258
241	1675	5247
242	1682	5240
243	1687	5228
244	1692	5216
245	1698	5205
246	1703	5194
247	1709	5184
248	1717	5179
249	1722	5168
250	1729	5159
251	1734	5149
252	1740	5140
253	1747	5131
254	1752	5119
255	1758	5109
256	1763	5099
257	1770	5092
258	1776	5082
259	1781	5071
260	1787	5062
261	1793	5052
262	1799	5043
263	1804	5030
264	1811	5023
265	1816	5012
266	1823	5004
267	1830	5000
268	1836	4991
269	1841	4979
270	1849	4975
271	1854	4964
272	1859	4951
273	1870	4957
274	1876	4946
275	1883	4941
276	1889	4930
277	1894	4921
278	1900	4911
279	1906	4901
280	1912	4893
281	1918	4885
282	1923	4873
283	1928	4861
284	1934	4852
285	1939	4842
286	1945	4834
287	1951	4824
288	1957	4815
289	1962	4804
290	1967	4793
