iter	Logloss
0	0.6691245937
1	0.646696279
2	0.626667871
3	0.6111178763
4	0.5926181768
5	0.5782599499
6	0.5654501883
7	0.5532820771
8	0.5424150104
9	0.5322269992
10	0.522160849
11	0.5133505425
12	0.5053270212
13	0.4971995857
14	0.4906896051
15	0.4852247496
16	0.4801212903
17	0.4739923808
18	0.469373199
19	0.4643172917
20	0.4596252136
21	0.4546628991
22	0.4509747883
23	0.4470800404
24	0.4435666193
25	0.4403057859
26	0.4370766236
27	0.4344703806
28	0.4321463414
29	0.4298049748
30	0.4277595614
31	0.425791272
32	0.4240792112
33	0.4222579428
34	0.4208160848
35	0.4189577953
36	0.4172387677
37	0.415495602
38	0.414213936
39	0.4127830982
40	0.4114759099
41	0.4104115366
42	0.4092455091
43	0.4080584489
44	0.4068829064
45	0.4058257453
46	0.4048750009
47	0.4041802586
48	0.403034691
49	0.4021181201
50	0.4009946642
51	0.4003695619
52	0.3993096886
53	0.3985889532
54	0.3980639161
55	0.3975244028
56	0.3969240517
57	0.3963787397
58	0.395707443
59	0.3950172462
60	0.3943352708
61	0.3938893027
62	0.3932852907
63	0.3927377806
64	0.3922168043
65	0.3915818902
66	0.3910492818
67	0.3905058293
68	0.3899642933
69	0.3893841449
70	0.3888159219
71	0.3883174251
72	0.3878290312
73	0.3871554396
74	0.3867847499
75	0.3862499007
76	0.3857935321
77	0.3853431158
78	0.3847637022
79	0.3844595262
80	0.3839421949
81	0.3834250739
82	0.3829007077
83	0.382513216
84	0.3821314596
85	0.3815552788
86	0.3811944602
87	0.3808227028
88	0.38041319
89	0.3800558042
90	0.3796468802
91	0.3790590939
92	0.378775332
93	0.3784333305
94	0.3778951186
95	0.3776419988
96	0.3772676655
97	0.3769727872
98	0.3765502286
99	0.3761617016
100	0.3758963052
101	0.3755207862
102	0.3751895869
103	0.3747035765
104	0.3743868989
105	0.3739250872
106	0.3735893059
107	0.3733009614
108	0.3729746292
109	0.372586185
110	0.3723576189
111	0.3720755562
112	0.3716873567
113	0.3713611103
114	0.3711345151
115	0.3708828351
116	0.3706308961
117	0.3703131884
118	0.3699739113
119	0.3697044606
120	0.3694629014
121	0.3691579755
122	0.368908242
123	0.3685863101
124	0.3682492751
125	0.3679314749
126	0.3676666528
127	0.3674509503
128	0.3671999011
129	0.3670204621
130	0.3668398521
131	0.3664579883
132	0.366070027
133	0.3657071108
134	0.3654363421
135	0.365265532
136	0.3649890004
137	0.3645747029
138	0.3642851298
139	0.3640229808
140	0.3637813334
141	0.3635664222
142	0.3633747356
143	0.3631774726
144	0.3629859531
145	0.3627941372
146	0.3624939224
147	0.3621905668
148	0.3617092331
149	0.361217992
150	0.3609318203
151	0.3605597734
152	0.3602688285
153	0.3600447734
154	0.3598391765
155	0.3595864742
156	0.3592674347
157	0.3589737737
158	0.3587301507
159	0.3583845491
160	0.3580231421
161	0.3579722145
162	0.3575843
163	0.357285904
164	0.3570175071
165	0.3566909441
166	0.3563341438
167	0.3561061428
168	0.3558418366
169	0.3554822532
170	0.3551821638
171	0.3549360932
172	0.3547299736
173	0.3545028895
174	0.3541216139
175	0.3539152966
176	0.3535363175
177	0.3532273659
178	0.3529664046
179	0.3527525348
180	0.3524844216
181	0.352250791
182	0.3520775473
183	0.3517412758
184	0.3515668611
185	0.3511954778
186	0.3509873787
187	0.3508151268
188	0.3505660016
189	0.3503359395
190	0.3501045913
191	0.3498495011
192	0.3496232459
193	0.3493133171
194	0.3489935188
195	0.3487878838
196	0.3486297311
197	0.3484131302
198	0.3481657083
199	0.3478841499
200	0.347711713
201	0.347306659
202	0.3470386724
203	0.3468148716
204	0.3465032955
205	0.3462826027
206	0.3459310874
207	0.3456251139
208	0.3453581287
209	0.3451570244
210	0.344848482
211	0.3444823753
212	0.3442959824
213	0.3441201797
214	0.3437771479
215	0.3435869404
216	0.3434407523
217	0.3431676426
218	0.3427787679
219	0.3423683743
220	0.3421682225
221	0.3419433873
222	0.3417571053
223	0.341611635
224	0.3414540757
225	0.3410793144
226	0.3409451966
227	0.3407473211
228	0.3404400088
229	0.3401496055
230	0.340032564
231	0.3398487424
232	0.3396068398
233	0.3394041482
234	0.339231102
235	0.3390383631
236	0.3387515358
237	0.3384732479
238	0.33819725
239	0.337948067
240	0.3377947934
241	0.3374382617
242	0.337212384
243	0.3369577443
244	0.3367620133
245	0.3366271698
246	0.3362412206
247	0.3360286682
248	0.3358402687
249	0.3356538624
250	0.3353645942
251	0.3351391431
252	0.3349756395
253	0.3347160684
