iter	Passed	Remaining
0	172	172123
1	205	102475
2	217	72150
3	226	56384
4	237	47357
5	249	41388
6	270	38339
7	277	34414
8	285	31461
9	292	28973
10	299	26886
11	304	25055
12	309	23496
13	314	22153
14	319	20987
15	324	19963
16	329	19041
17	334	18266
18	339	17542
19	346	16974
20	352	16424
21	357	15898
22	363	15443
23	369	15010
24	375	14625
25	380	14253
26	385	13894
27	390	13570
28	396	13263
29	402	13019
30	408	12768
31	414	12528
32	419	12284
33	423	12044
34	428	11826
35	434	11632
36	441	11488
37	446	11305
38	452	11155
39	460	11056
40	465	10896
41	470	10740
42	475	10592
43	483	10503
44	490	10414
45	496	10297
46	502	10186
47	509	10103
48	515	10004
49	521	9916
50	528	9831
51	535	9765
52	541	9680
53	547	9584
54	551	9483
55	557	9393
56	564	9344
57	569	9254
58	574	9163
59	581	9105
60	586	9026
61	591	8946
62	597	8890
63	605	8853
64	612	8808
65	617	8733
66	623	8677
67	632	8669
68	637	8603
69	642	8536
70	647	8470
71	652	8407
72	658	8358
73	663	8302
74	670	8274
75	675	8218
76	682	8179
77	687	8121
78	691	8066
79	698	8036
80	706	8020
81	714	7998
82	719	7950
83	725	7911
84	730	7865
85	735	7819
86	743	7800
87	748	7759
88	753	7714
89	760	7690
90	766	7654
91	771	7618
92	777	7585
93	790	7618
94	797	7593
95	804	7579
96	812	7564
97	817	7525
98	836	7609
99	841	7573
100	845	7530
101	850	7489
102	858	7476
103	864	7448
104	870	7417
105	875	7382
106	880	7344
107	884	7303
108	890	7277
109	895	7247
110	900	7212
111	905	7180
112	910	7147
113	914	7110
114	919	7078
115	925	7056
116	930	7025
117	938	7011
118	944	6990
119	948	6959
120	956	6948
121	961	6917
122	967	6894
123	972	6867
124	980	6864
125	985	6835
126	990	6807
127	994	6775
128	999	6751
129	1006	6735
130	1011	6708
131	1016	6681
132	1020	6653
133	1025	6625
134	1030	6599
135	1037	6589
136	1041	6561
137	1047	6541
138	1051	6514
139	1056	6489
140	1061	6465
141	1067	6448
142	1073	6432
143	1078	6413
144	1083	6387
145	1087	6363
146	1092	6339
147	1097	6316
148	1103	6301
149	1109	6285
150	1115	6269
151	1121	6255
152	1128	6244
153	1135	6235
154	1141	6223
155	1149	6219
156	1155	6203
157	1159	6180
158	1164	6159
159	1171	6148
160	1175	6127
161	1179	6101
162	1186	6090
163	1191	6073
164	1195	6052
165	1202	6041
166	1207	6022
167	1212	6005
168	1217	5986
169	1222	5969
170	1227	5950
171	1233	5936
172	1238	5919
173	1243	5904
174	1248	5885
175	1256	5881
176	1261	5865
177	1267	5855
178	1272	5837
179	1277	5818
180	1282	5804
181	1288	5790
182	1298	5795
183	1302	5777
184	1307	5760
